trans_date_trans_time	merchant	category	amt	city	state	lat	long	city_pop	job	dob	trans_num	merch_lat	merch_long	is_fraud
01-01-2019 01:23	Medhurst PLC	shopping_net	215.99	Sixes	OR	42.825	-124.4409	217	Retail merchandiser	01-10-1928	e13482d8e24ed41362ff84bb9f100623	42.9887	-123.905	0
01-01-2019 01:23	Kerluke Inc	misc_net	1.47	Holstein	NE	40.4542	-98.6538	331	Telecommunications researcher	19-08-1950	6569a85a160476c677bf9a4c2da40cfd	41.1449	-99.3876	0
01-01-2019 01:23	Bauch-Rayno	grocery_pos	122.05	Westerville	NE	41.4193	-99.3844	73	Product designer	10-02-1935	d83aa7370cef2c7a209118f313d0b360	41.6091	-99.6503	0
01-01-2019 01:34	Hills-Olson	grocery_net	27.03	Ballwin	MO	38.577	-90.5255	92608	"Engineer, communications"	26-07-2001	011f7fc2db063dc3f63219a76e052ace	38.9849	-90.8422	0
01-01-2019 01:36	Durgan-Aue	misc_net	23.8	Fields Landing	CA	40.7268	-124.2174	276	"Scientist, audiological"	06-05-1929	98fec127a1545ec4dad787e5326bd374	40.1108	-124.4295	0
01-01-2019 01:41	Pacocha-Bauch	shopping_pos	2.1	Grenada	CA	41.6125	-122.5258	589	Systems analyst	21-12-1945	53fb041938a6e239a2e1679d27a7f9c2	41.0967	-122.6235	0
01-01-2019 01:50	"Reilly, Heaney and Cole"	gas_transport	67.91	Fields Landing	CA	40.7268	-124.2174	276	"Scientist, audiological"	06-05-1929	8e364131ffb75a95c9a04b304c9994e4	41.1376	-123.6322	0
01-01-2019 02:06	Bradtke PLC	grocery_pos	78.13	Louisiana	MO	39.4336	-91.0664	4593	"Teacher, early years/pre"	11-11-1940	e46a01d459665d3466b3a2148eb80f4e	40.2471	-91.699	0
01-01-2019 02:08	"Zieme, Bode and Dooley"	gas_transport	52.67	Kansas City	MO	38.9621	-94.5959	545147	Counsellor	18-11-1987	29768857d3597be571bce4497a48c735	39.6628	-93.7122	0
01-01-2019 02:08	Hills-Witting	shopping_net	2.11	Mesa	ID	44.6255	-116.4493	129	Cartographer	15-12-1965	3749d51cb61d34bcaae08fcbee53fceb	44.7101	-117.23	0
01-01-2019 02:12	"Bernhard, Grant and Langworth"	shopping_pos	1.42	Westerville	NE	41.4193	-99.3844	73	Product designer	10-02-1935	0020b02e5638ee80c7176007e1b483fa	40.7906	-99.0118	0
01-01-2019 02:12	Lockman Lt	grocery_pos	104.08	Lonetree	WY	41.0552	-110.1603	49	Research scientist (physical sciences)	05-07-1981	991f851c15545feaa5c0c90e264a66a3	41.6779	-110.8294	0
01-01-2019 02:13	Harber Inc	gas_transport	39.98	Centerview	MO	38.7897	-93.8702	2368	Electronics engineer	17-07-1989	f8ab97ed82e0669c50d3d8a60baf9c64	38.9957	-93.5694	0
01-01-2019 02:14	Bauch-Rayno	grocery_pos	192.82	Colorado Springs	CO	38.8881	-104.6556	525713	Museum/gallery exhibitions officer	09-05-1992	3dcdb9b61cc3770b9c8b78818173e6d6	39.2998	-103.8548	0
01-01-2019 02:20	"Kerluke, Kertzmann and Wiz"	misc_net	6.37	Hawthorne	CA	33.9143	-118.3493	93193	"Editor, magazine features"	19-04-1995	bcff0b6c116a2ed80b212aa3acb07195	34.1083	-117.549	0
01-01-2019 02:21	"Johnston, Nikolaus and Maggio"	grocery_net	41.01	Blairsden-Graeagle	CA	39.8127	-120.6405	1725	Chartered legal executive (England and Wales)	27-05-1967	ff342d2dad68412cbc24eb27b2370291	39.9492	-119.7923	0
01-01-2019 02:26	Torp-Labadie	gas_transport	49.53	Freedom	WY	43.0172	-111.0292	471	"Education officer, museum"	02-08-1967	c09831d3ebf12b67982f193d03162974	43.0387	-111.8216	0
01-01-2019 02:28	Doyle Lt	grocery_pos	157.07	Cardwell	MO	36.0434	-90.2907	1120	Television floor manager	17-04-1957	2718171b5be46962b081ee742ed3cd42	35.633	-89.5896	0
01-01-2019 02:31	McDermott-Rice	misc_pos	13.67	Kansas City	MO	38.9621	-94.5959	545147	Counsellor	18-11-1987	49b8ff92b52599bc8c265d0b8d008593	38.0585	-94.6872	0
01-01-2019 02:32	Spinka Inc	grocery_net	57.57	Phoenix	AZ	33.5623	-112.0559	1312922	Contractor	24-10-1981	0bffbd021d632206028c981630007c12	32.6358	-112.1959	0
01-01-2019 02:33	McGlynn-Jaskolski	misc_pos	99.08	Newhall	CA	34.3795	-118.523	34882	Health physicist	25-04-1971	56821cb1d8c2c3d57299cc01bfd2e071	34.3702	-118.1958	0
01-01-2019 02:37	Schmitt Lt	misc_net	29.19	Tomales	CA	38.2427	-122.9145	337	Occupational psychologist	05-07-1954	d51dc2a26160f1425df51982c6d05257	38.8822	-122.0502	0
01-01-2019 02:42	Donnelly PLC	misc_net	185.04	Redford	MO	37.3272	-91.0243	241	Investment analyst	27-10-1974	0a630c19d0ef93f9d262d0ef9bff9358	36.5185	-91.3634	0
01-01-2019 02:42	"Kutch, Hermiston and Farrell"	gas_transport	48.66	Weeping Water	NE	40.8731	-96.1528	1517	Dealer	08-11-1951	61efe8834c23dea4a334ea06a4dc293d	41.0663	-95.4121	0
01-01-2019 02:46	Torp-Lemke	misc_pos	3.32	Portland	OR	45.5303	-122.7033	841711	"Engineer, building services"	04-04-1963	900f6896c69d904420bec5e52cf49a95	44.7276	-123.2826	0
01-01-2019 02:54	Kassulke PLC	shopping_net	1055.47	Iliff	CO	40.7692	-103.0968	648	Community arts worker	21-09-1969	adca67d0a40b26fb8afeccbae31b7828	39.9406	-103.5282	0
01-01-2019 02:56	Dach-Nade	misc_net	16.65	Burlington	WA	48.4786	-122.3345	14871	Public house manager	10-03-1974	ffdaa290d0841d7babaf495aab382031	49.0736	-122.9248	0
01-01-2019 02:56	Hills-Witting	shopping_net	8.7	Wales	AK	64.7556	-165.6723	145	"Administrator, education"	09-11-1939	f72573a40026254460e02d05ae72672a	65.0235	-166.1484	0
01-01-2019 03:01	"Bins, Balistreri and Beatty"	shopping_pos	3.19	Mound City	MO	40.1362	-95.2138	1631	Architect	20-01-1953	20c1cf41b472000887395508c5796354	39.2997	-95.9758	0
01-01-2019 03:07	Miller-Hauck	grocery_pos	202.71	Burlington	WA	48.4786	-122.3345	14871	Public house manager	10-03-1974	4dde02d07e676d0df3e90565c242a2ec	49.2213	-123.3219	0
01-01-2019 03:12	"Rohan, White and Aufderh"	misc_net	8.68	Greenview	CA	41.5403	-122.9366	308	Call centre manager	20-09-1958	6d76dfcd39a8262fa7b8e723e0c6cf7f	41.0137	-122.4035	0
01-01-2019 03:12	DuBuque LLC	grocery_pos	176.57	Lakeport	CA	39.047	-122.9328	11256	Podiatrist	18-10-1972	26db4a0f3aa2089bd1823652cba9ece1	38.7625	-122.3394	0
01-01-2019 03:12	Bins-Rice	gas_transport	49.1	Westerville	NE	41.4193	-99.3844	73	Product designer	10-02-1935	0e83bc0fc886293d57759db709b80962	40.7222	-98.6802	0
01-01-2019 03:12	"Cormier, Stracke and Thiel"	entertainment	3.14	Honokaa	HI	20.0827	-155.488	4878	Physiotherapist	03-12-1966	cb117fff5645082a2525119c1eafec53	20.9954	-155.3694	0
01-01-2019 03:15	"Gottlieb, Considine and Schultz"	shopping_net	6.32	Llano	NM	36.1486	-105.6648	247	Architectural technologist	24-10-1961	4c17683e079020ad3865092205f92d81	36.8677	-105.043	0
01-01-2019 03:18	"Jenkins, Hauck and Friesen"	gas_transport	44.68	Carlotta	CA	40.507	-123.9743	1139	"Therapist, occupational"	15-01-1951	12ef4798422ce322c149339afd3072c7	40.4595	-124.2143	0
01-01-2019 03:24	Cummerata-Jones	gas_transport	69.3	Ballwin	MO	38.577	-90.5255	92608	"Engineer, communications"	26-07-2001	6736a2032d3a9f612176c57e07480c5b	38.1661	-90.9128	0
01-01-2019 03:37	"Goldner, Kovacek and Abbott"	grocery_pos	111.81	Dumont	CO	39.7532	-105.6356	565	Mental health nurse	27-08-1978	3dedb528e11d51102e96dd450a82ba0a	40.4177	-105.3841	0
01-01-2019 03:45	"Romaguera, Cruickshank and Greenholt"	shopping_net	511.09	Grenada	CA	41.6125	-122.5258	589	Systems analyst	21-12-1945	46397744ae13d2c0843e8fba6f164379	42.4127	-121.6179	0
01-01-2019 03:49	Kilback LLC	grocery_pos	68.96	Fullerton	NE	41.366	-98.0054	1749	"Surveyor, mining"	07-05-1973	b2820a9708d41515e2a1590d3cce80d4	41.1821	-98.7519	0
01-01-2019 03:54	VonRueden Group	grocery_net	105.38	North Loup	NE	41.4972	-98.7858	509	"Nurse, children's"	15-09-1980	dc1c09ff158f17c023c59c9d9e0d196f	41.2716	-99.6307	0
01-01-2019 03:56	"Haley, Jewess and Bechtel"	shopping_pos	2.49	Browning	MO	40.029	-93.1607	602	Cytogeneticist	14-07-1954	d5b3a6e6afe4ff2c96b5fe0355ff8b55	39.0526	-92.4287	0
01-01-2019 04:00	Hudson-Ratke	grocery_pos	122.86	Kent	OR	45.0838	-120.6649	60	Museum education officer	03-04-1942	b48cee6edd7f798cb5d4080b82e4a1fe	44.1896	-121.6552	0
01-01-2019 04:03	Brekke and Sons	gas_transport	84.58	Holstein	NE	40.4542	-98.6538	331	Telecommunications researcher	19-08-1950	946ab3d0eaf1a37f11668ae3c1d55a2c	40.3108	-99.581	0
01-01-2019 04:08	Terry-Huel	shopping_net	9.52	Mound City	MO	40.1362	-95.2138	1631	Architect	20-01-1953	771a63aaf5210acfbf5ac2403aad30af	39.7906	-95.0431	0
01-01-2019 04:14	Eichmann-Russel	misc_pos	35	Fiddletown	CA	38.5234	-120.6763	832	Immigration officer	19-05-1987	6f2eff909c82577af2cdb75e5b9a6232	38.371	-121.3588	0
01-01-2019 04:15	"Heller, Gutmann and Zieme"	grocery_pos	203.26	Huntington Beach	CA	33.6773	-118.0051	190249	"Therapist, horticultural"	17-09-1976	b34814818c2ecd0f86214bf1a6dc1a64	33.01	-117.7057	0
01-01-2019 04:23	Bailey-Mo	grocery_pos	123.9	Blairsden-Graeagle	CA	39.8127	-120.6405	1725	Chartered legal executive (England and Wales)	27-05-1967	2a98efe0b90779ab29581f3553d87739	39.2294	-120.4937	0
01-01-2019 04:26	Corwin-Collins	gas_transport	50.16	Centerview	MO	38.7897	-93.8702	2368	Electronics engineer	17-07-1989	e95e53d1c091289a54cde0414762751d	38.9643	-93.4977	0
01-01-2019 04:29	Balistreri-Nade	misc_pos	22.88	Tomales	CA	38.2427	-122.9145	337	Occupational psychologist	05-07-1954	2fcbde131cff833751dde53da54da6da	39.0601	-121.9694	0
01-01-2019 04:32	"Rippin, Kub and Mann"	misc_net	6	Manville	WY	42.73	-104.7024	241	Educational psychologist	16-12-1980	28528ab2c10390c3b31e401c44365ab5	42.7702	-103.9455	0
01-01-2019 04:40	"Casper, Hand and Zul"	grocery_pos	175.51	Newhall	CA	34.3795	-118.523	34882	Health physicist	25-04-1971	9f5a130b4ae9efb87867ce8dc878f412	33.7317	-119.5078	0
01-01-2019 04:43	Kutch LLC	gas_transport	69.64	Grenada	CA	41.6125	-122.5258	589	Systems analyst	21-12-1945	23cd7287ce2a70d9754cc0f1263ee99f	41.6739	-123.5109	0
01-01-2019 04:52	O'Keefe-Hudson	grocery_pos	209.89	Phoenix	AZ	33.5623	-112.0559	1312922	Contractor	24-10-1981	e6528b0d35f36cb29cdca6936aaf1107	33.134	-111.4606	0
01-01-2019 04:55	McDermott-Weimann	grocery_pos	236.18	Meridian	ID	43.6498	-116.4306	84106	Intelligence analyst	11-02-1971	f5afac4b2726300db61d131c65db187d	44.4041	-115.8875	0
01-01-2019 04:55	"Connelly, Reichert and Fritsch"	gas_transport	57.36	Centerview	MO	38.7897	-93.8702	2368	Electronics engineer	17-07-1989	bc763a7872b62564b0ebb0a94e2a4f26	38.5086	-93.6034	0
01-01-2019 04:56	Cummerata-Jones	gas_transport	55.99	Glendale	CA	34.1556	-118.2322	172817	Advertising account planner	30-07-1982	011d132dc3afd3480fd36cb5f3d2b09b	33.778	-119.0135	0
01-01-2019 04:57	"Streich, Hansen and Veum"	gas_transport	61.39	Orient	WA	48.8878	-118.2105	149	Special educational needs teacher	21-06-1978	9825a8292f6b25bb7d54b253bb3336f6	48.3942	-117.3636	0
01-01-2019 04:59	"Reichert, Shanahan and Hayes"	shopping_net	78.56	Alva	WY	44.6873	-104.4414	110	"Administrator, local government"	16-05-1973	d01846bf25a4eedf3366527b3b79b4ff	44.6786	-104.1283	0
01-01-2019 05:02	Dickinson-Rempel	misc_pos	16.85	Blairstown	MO	38.5319	-93.9221	467	Agricultural consultant	27-05-1950	021e1cf84aec0f63646565e38cb756ec	39.0443	-94.6983	0
01-01-2019 05:07	"Wiza, Schaden and Stark"	misc_pos	45.4	Laguna Hills	CA	33.615	-117.7114	45303	Sales executive	22-12-1969	987db990882b791e835e5b589cb84abc	33.9161	-117.096	0
01-01-2019 05:14	Spinka Inc	grocery_net	48.31	Dumont	CO	39.7532	-105.6356	565	Mental health nurse	27-08-1978	23a79ef1e368a318c1db57a666d024d6	40.504	-106.5612	0
01-01-2019 05:16	"Schaefer, Maggio and Daugherty"	gas_transport	81.25	Albuquerque	NM	35.0561	-106.5506	641349	Charity officer	24-01-1967	d534c24b383c65487d128d525c8d6b91	35.978	-107.434	0
01-01-2019 05:19	Bailey-Mo	grocery_pos	193.1	Azusa	CA	34.1248	-117.9031	59705	Civil Service fast streamer	23-06-1983	6c8edd752c68cb18b781380b5487e5cd	33.4377	-117.6783	0
01-01-2019 05:36	Sporer Inc	gas_transport	51.84	Gardiner	OR	43.7857	-124.1437	260	"Engineer, maintenance"	01-09-1956	9c47babfde0e067a090c5cea65e58835	44.0476	-123.8003	0
01-01-2019 05:36	Prohaska-Murray	gas_transport	46.66	Mound City	MO	40.1362	-95.2138	1631	Architect	20-01-1953	b8e3100c6bccb605dd98a848e2c76eda	41.0716	-94.9996	0
01-01-2019 05:39	Bartoletti-Wunsch	gas_transport	56.65	Blairsden-Graeagle	CA	39.8127	-120.6405	1725	Chartered legal executive (England and Wales)	27-05-1967	c198762abf80d696e56eaa0646632488	39.2521	-120.8091	0
01-01-2019 05:41	O'Keefe-Hudson	grocery_pos	175.26	Rock Springs	WY	41.606	-109.23	27971	Music therapist	01-08-1984	ed00708f7af7c1818bc14f4dd36036d4	42.2572	-109.3121	0
01-01-2019 05:44	Heller-Langosh	gas_transport	62.62	Paauilo	HI	20.0271	-155.3697	1490	"Scientist, research (maths)"	13-04-1991	4e14f0bd0481beb88caa1dc4422ed8e6	19.2092	-155.1621	0
01-01-2019 05:50	Emard Inc	gas_transport	32.6	Browning	MO	40.029	-93.1607	602	Cytogeneticist	14-07-1954	86cad0e7682a85fa6418dde1a0a33a44	39.3357	-92.9826	0
01-01-2019 05:52	Vandervort-Funk	grocery_pos	83.38	Eugene	OR	44.0385	-123.0614	191096	"Scientist, physiological"	06-04-1964	6e012022d698a9136bfac48be9b3d050	43.66	-123.8485	0
01-01-2019 05:56	"Adams, Kovacek and Kuhlman"	grocery_net	74.85	Daly City	CA	37.6787	-122.478	107941	"Buyer, industrial"	04-10-1991	5674d7c6891a3d5e9a9fa208730057a4	38.5441	-123.3116	0
01-01-2019 06:15	Pacocha-Bauch	shopping_pos	1.95	Mendon	UT	41.71	-111.9817	2078	"Scientist, audiological"	13-06-1963	dac965dc4f91c065fe36327431ead52a	41.9307	-111.0445	0
01-01-2019 06:20	Hudson-Ratke	grocery_pos	199.55	Littleton	CO	39.5994	-105.0044	320420	Water engineer	31-07-1975	a5c13edd756f36c026630d13672974bd	38.6197	-105.4981	0
01-01-2019 06:24	Harber Inc	gas_transport	94.48	Orient	WA	48.8878	-118.2105	149	Special educational needs teacher	21-06-1978	c9235f76ecb45e67372d79ecac2ffb37	49.5136	-117.8197	0
01-01-2019 06:25	Berge LLC	gas_transport	79.39	Mesa	ID	44.6255	-116.4493	129	Cartographer	15-12-1965	606b05a976ee2bca7323d6afc85e63ce	43.6736	-116.4061	0
01-01-2019 06:25	Pagac LLC	shopping_pos	5.05	Powell Butte	OR	44.2415	-121.0113	2016	Local government officer	25-12-1953	d44f496e9daab912914ac9513b038df2	44.2457	-121.3337	0
01-01-2019 06:32	Erdman-Kertzmann	gas_transport	69.72	Utica	MO	39.7417	-93.6289	271	Land/geomatics surveyor	18-04-1972	6ed5502e8464efee2e341959617bb656	39.0534	-93.9729	0
01-01-2019 06:47	Kilback LLC	grocery_pos	94.7	Santa Monica	CA	34.0287	-118.4924	92043	"Civil engineer, contracting"	25-04-1961	53ce9a8288680138029c000eccda3ef5	34.2382	-117.6447	0
01-01-2019 06:48	McGlynn-Heathcote	misc_net	199.91	Laramie	WY	41.4247	-105.4781	35371	"Pilot, airline"	02-09-1988	515bbdc506029e792d2e1ed06e860645	40.477	-105.5418	0
01-01-2019 06:52	Torp-Labadie	gas_transport	48.1	Lagrange	WY	41.6423	-104.1974	635	Product/process development scientist	13-07-1973	db9c80e90e2d21b61b53050f15845615	41.0452	-104.4095	0
01-01-2019 06:54	"Greenholt, Jacobi and Gleason"	gas_transport	64.92	Brainard	NE	41.1832	-96.9882	614	Associate Professor	20-06-1967	c2959f6ce246f729459ea50b5de61c78	42.1314	-96.9387	0
01-01-2019 07:03	Volkman-Predovic	shopping_net	6.48	Humboldt	AZ	34.5189	-112.2523	1179	"Civil engineer, contracting"	20-01-1955	1c3b455d21e7debb5c8b20097666958e	33.6762	-112.3896	0
01-01-2019 07:09	Funk Group	grocery_net	51.28	Phoenix	AZ	33.8155	-112.1202	1312922	Counselling psychologist	30-11-1999	c56c309fa13d1c9ee97aadd3b1eb313b	34.1668	-111.5956	0
01-01-2019 07:10	"Christiansen, Goyette and Schamberge"	gas_transport	92.76	Mendon	UT	41.71	-111.9817	2078	"Scientist, audiological"	13-06-1963	caedb2e95360b4615a85193357810e38	42.6	-112.7582	0
01-01-2019 07:11	Conroy-Cruickshank	gas_transport	71.06	Redford	MO	37.3272	-91.0243	241	Investment analyst	27-10-1974	a29812ac63e9b065046efd387a6ec8b5	36.4471	-91.9419	0
01-01-2019 07:13	Jast and Sons	food_dining	74.09	Corona	CA	33.8419	-117.6043	233717	Wellsite geologist	22-05-1966	4a4cf450e1ee2741e3c3a43544c3cd64	33.9178	-117.8218	0
01-01-2019 07:17	Bailey-Mo	grocery_pos	60.65	Moab	UT	38.5677	-109.5271	9772	Location manager	24-11-1989	ce01044c1bfbdb2dd8afb20b3b104f98	38.0153	-109.5438	0
01-01-2019 07:20	Mraz-Herzog	gas_transport	60.15	Yellowstone National Park	WY	44.7957	-110.6137	369	Materials engineer	16-11-1941	ff065ff2abbe15990f3ccbd5e549f085	45.6871	-109.8915	0
01-01-2019 07:20	Emard Inc	gas_transport	42.1	Shedd	OR	44.453	-123.1065	917	Radio broadcast assistant	08-07-1995	ebbffdde1a88f889b1eea0a895eabf10	43.5956	-123.4294	0
01-01-2019 07:22	Schamberger-O'Keefe	grocery_pos	205.76	Kansas City	MO	38.9621	-94.5959	545147	Counsellor	18-11-1987	28f3be829fc05cc266b8e20e4d07e0eb	39.5112	-94.761	0
01-01-2019 07:24	Wolf Inc	grocery_pos	212.87	Kansas City	MO	38.9621	-94.5959	545147	Counsellor	18-11-1987	100f6146829a593605fe199a0a0fb4d5	38.4404	-93.968	0
01-01-2019 07:28	Kutch LLC	gas_transport	77.83	Westfir	OR	43.7575	-122.481	597	Forensic psychologist	19-05-1961	b8848e6439f24ca232b875cc8c548bb9	44.438	-121.9705	0
01-01-2019 07:34	"Olson, Becker and Koch"	gas_transport	91.22	Littleton	CO	39.5994	-105.0044	320420	Water engineer	31-07-1975	d81638aacaad5494f155cf70e1912957	40.0629	-105.1993	0
01-01-2019 07:39	Harris Inc	gas_transport	68.85	Meadville	MO	39.7795	-93.3014	964	Tourist information centre manager	23-12-1974	f555a9523ee3b2dcb0bdb6ed459deb03	38.795	-94.2195	0
01-01-2019 07:43	McDermott-Weimann	grocery_pos	150.82	June Lake	CA	37.7773	-119.0825	633	Health service manager	09-09-1927	d4175d076783f76299e010c158b2b6c7	38.1793	-119.6142	0
01-01-2019 07:47	"Robel, Cummerata and Prosacco"	gas_transport	77.62	Independence	MO	39.1412	-94.3515	123373	"Engineer, production"	27-11-1992	b5ce075eb7992d3fc45e500507a0322c	38.7486	-94.8849	0
01-01-2019 07:54	Kunde-Sanfo	misc_net	3.18	Cardwell	MO	36.0434	-90.2907	1120	Television floor manager	17-04-1957	62cd1654abac4ea270b9b1a3e0f8cf13	36.7539	-91.1012	0
01-01-2019 07:55	Cole PLC	grocery_pos	125.69	Mesa	ID	44.6255	-116.4493	129	Cartographer	15-12-1965	637d26ade8d5c520540a8fb0910a7d28	43.9327	-116.4264	0
01-01-2019 07:55	Dickinson Lt	misc_pos	3.34	Corona	CA	33.8419	-117.6043	233717	Wellsite geologist	22-05-1966	621cbb20ee3cbdbb017bfd9ecfe6e595	32.9235	-116.7431	0
01-01-2019 08:03	Murray-Smitham	grocery_pos	218.2	Daly City	CA	37.6787	-122.478	107941	"Buyer, industrial"	04-10-1991	77c4bf620494a9ffb6e9d8ef9cc133b5	38.1901	-121.7056	0
01-01-2019 08:05	"Tillman, Dickinson and Labadie"	gas_transport	60.17	Westerville	NE	41.4193	-99.3844	73	Product designer	10-02-1935	27bd28157b84eb0e00a031787f6f3bf8	42.1821	-99.8768	0
01-01-2019 08:06	Metz-Boehm	shopping_pos	3.54	San Jose	CA	37.3304	-121.7913	973849	Science writer	12-06-1955	22108cef010fb1c7f60e0905b79cc178	38.006	-121.1916	0
01-01-2019 08:09	"Greenholt, Jacobi and Gleason"	gas_transport	49.47	San Jose	CA	37.3304	-121.7913	973849	Science writer	12-06-1955	3b0db891ea9d7d317dd5d7dde4ff3f15	37.2022	-122.2384	0
01-01-2019 08:13	Flatley-Durgan	misc_net	407.42	Gardiner	OR	43.7857	-124.1437	260	"Engineer, maintenance"	01-09-1956	2c761ec42e24be40a8473480be1b39bf	44.5568	-123.4102	0
01-01-2019 08:14	Turcotte-Halvorson	misc_pos	6.72	Paradise Valley	AZ	33.5494	-111.9565	17047	Building surveyor	29-01-1935	962392d9ee245e1de785e10ccf31bea3	32.8032	-112.5447	0
01-01-2019 08:18	Spencer-Runolfsson	misc_pos	14.92	Burlington	WA	48.4786	-122.3345	14871	Public house manager	10-03-1974	8281ad5a3b1ae4b6ca336af656b26186	49.3654	-121.9099	0
01-01-2019 08:19	Berge LLC	gas_transport	63.6	Camden	MO	39.2048	-94.0259	464	Colour technologist	28-05-1959	be8494e402d166aad6125ee58390903b	39.0266	-94.0473	0
01-01-2019 08:22	"Labadie, Treutel and Bode"	shopping_net	7.72	San Diego	CA	33.0067	-117.069	1241364	Chartered public finance accountant	05-08-1959	3eafe2ea6f20b9bb1dacd06600171691	32.8445	-117.699	0
01-01-2019 08:24	Dach-Bore	grocery_net	66.41	Phoenix	AZ	33.5623	-112.0559	1312922	Contractor	24-10-1981	15f6a0a1d168532d8bf679d1e35bbf55	33.303	-111.6428	0
